id,title,property_type,price,area_sqft,bedrooms,address,locality,city,latitude,longitude
prop_1,4 BHK Apartment in Hebbal,apartment,11425770,1422,4,"Random Street, Hebbal",Hebbal,Bangalore,13.040557,77.613713
prop_2,2 BHK Apartment in Jayanagar,apartment,7090524,756,2,"Random Street, Jayanagar",Jayanagar,Bangalore,12.931326,77.595464
prop_3,3 BHK Apartment in Hebbal,apartment,10392672,1392,3,"Random Street, Hebbal",Hebbal,Bangalore,13.025778,77.591272
prop_4,2 BHK Apartment in Marathahalli,apartment,5516667,837,2,"Random Street, Marathahalli",Marathahalli,Bangalore,12.963061,77.706997
prop_5,4 BHK Apartment in Hebbal,apartment,11721038,1582,4,"Random Street, Hebbal",Hebbal,Bangalore,13.026732,77.584385
prop_6,2 BHK Apartment in Koramangala,apartment,8324898,857,2,"Random Street, Koramangala",Koramangala,Bangalore,12.942925,77.632875
prop_7,3 BHK Apartment in Marathahalli,apartment,6850070,1163,3,"Random Street, Marathahalli",Marathahalli,Bangalore,12.961563,77.697845
prop_8,3 BHK Apartment in Marathahalli,apartment,8230910,1318,3,"Random Street, Marathahalli",Marathahalli,Bangalore,12.946599,77.713275
prop_9,4 BHK Apartment in Hebbal,apartment,12384407,1519,4,"Random Street, Hebbal",Hebbal,Bangalore,13.045151,77.60051
prop_10,3 BHK Apartment in Indiranagar,apartment,12229486,1126,3,"Random Street, Indiranagar",Indiranagar,Bangalore,12.962472,77.64478
prop_11,3 BHK Apartment in Koramangala,apartment,9948328,1196,3,"Random Street, Koramangala",Koramangala,Bangalore,12.941206,77.612417
prop_12,3 BHK Apartment in Koramangala,apartment,10012266,1089,3,"Random Street, Koramangala",Koramangala,Bangalore,12.9279,77.633619
prop_13,4 BHK Apartment in Indiranagar,apartment,17176362,1554,4,"Random Street, Indiranagar",Indiranagar,Bangalore,12.969751,77.631365
prop_14,2 BHK Apartment in Koramangala,apartment,7017105,677,2,"Random Street, Koramangala",Koramangala,Bangalore,12.924257,77.622593
prop_15,3 BHK Apartment in Jayanagar,apartment,9711516,1028,3,"Random Street, Jayanagar",Jayanagar,Bangalore,12.926895,77.57438
prop_16,4 BHK Apartment in Hebbal,apartment,13800752,1421,4,"Random Street, Hebbal",Hebbal,Bangalore,13.049947,77.612616
