id,title,property_type,price,area_sqft,bedrooms,address,locality,city,latitude,longitude
prop_1,3 BHK Apartment in HSR Layout,apartment,8960720,1109,3,"Random Street, HSR Layout",HSR Layout,Bangalore,12.926111,77.649886
prop_2,4 BHK Apartment in Sarjapur,apartment,10602468,1524,4,"Random Street, Sarjapur",Sarjapur,Bangalore,12.935656,77.682599
prop_3,3 BHK Apartment in Electronic City,apartment,6101394,1074,3,"Random Street, Electronic City",Electronic City,Bangalore,12.832453,77.658656
prop_4,4 BHK Apartment in Bellandur,apartment,13338420,1697,4,"Random Street, Bellandur",Bellandur,Bangalore,12.916454,77.690039
prop_5,3 BHK Apartment in Marathahalli,apartment,8390055,1245,3,"Random Street, Marathahalli",Marathahalli,Bangalore,12.961924,77.706614
prop_6,2 BHK Apartment in Koramangala,apartment,9030809,929,2,"Random Street, Koramangala",Koramangala,Bangalore,12.929066,77.621117
prop_7,3 BHK Apartment in Indiranagar,apartment,13423924,1237,3,"Random Street, Indiranagar",Indiranagar,Bangalore,12.960787,77.627517
prop_8,2 BHK Apartment in Jayanagar,apartment,7705620,962,2,"Random Street, Jayanagar",Jayanagar,Bangalore,12.943592,77.580053
prop_9,3 BHK Apartment in Bellandur,apartment,10694008,1391,3,"Random Street, Bellandur",Bellandur,Bangalore,12.944128,77.686376
prop_10,4 BHK Apartment in Bellandur,apartment,10014340,1535,4,"Random Street, Bellandur",Bellandur,Bangalore,12.923076,77.671253
prop_11,3 BHK Apartment in Bellandur,apartment,10272220,1228,3,"Random Street, Bellandur",Bellandur,Bangalore,12.939479,77.671633
prop_12,3 BHK Apartment in Sarjapur,apartment,8634654,1113,3,"Random Street, Sarjapur",Sarjapur,Bangalore,12.928315,77.672251
prop_13,3 BHK Apartment in Marathahalli,apartment,9592432,1322,3,"Random Street, Marathahalli",Marathahalli,Bangalore,12.94756,77.69417
prop_14,2 BHK Apartment in Electronic City,apartment,4787210,983,2,"Random Street, Electronic City",Electronic City,Bangalore,12.839281,77.667489
prop_15,4 BHK Apartment in Bellandur,apartment,8758400,1400,4,"Random Street, Bellandur",Bellandur,Bangalore,12.934167,77.663691
prop_16,2 BHK Apartment in Electronic City,apartment,5007576,861,2,"Random Street, Electronic City",Electronic City,Bangalore,12.851788,77.649246
prop_17,3 BHK Apartment in Jayanagar,apartment,9715104,1106,3,"Random Street, Jayanagar",Jayanagar,Bangalore,12.938179,77.595116
prop_18,3 BHK Apartment in Whitefield,apartment,8293152,1176,3,"Random Street, Whitefield",Whitefield,Bangalore,12.958419,77.737285
prop_19,4 BHK Apartment in HSR Layout,apartment,9898944,1419,4,"Random Street, HSR Layout",HSR Layout,Bangalore,12.909898,77.63498
prop_20,3 BHK Apartment in Sarjapur,apartment,9691024,1316,3,"Random Street, Sarjapur",Sarjapur,Bangalore,12.921664,77.679601
prop_21,4 BHK Apartment in Sarjapur,apartment,11438922,1578,4,"Random Street, Sarjapur",Sarjapur,Bangalore,12.934955,77.666779
prop_22,2 BHK Apartment in Marathahalli,apartment,5909036,883,2,"Random Street, Marathahalli",Marathahalli,Bangalore,12.963988,77.714963
prop_23,4 BHK Apartment in Bellandur,apartment,11319750,1677,4,"Random Street, Bellandur",Bellandur,Bangalore,12.935864,77.687063
prop_24,4 BHK Apartment in Bellandur,apartment,9813398,1498,4,"Random Street, Bellandur",Bellandur,Bangalore,12.931074,77.675807
prop_25,3 BHK Apartment in Whitefield,apartment,9378824,1352,3,"Random Street, Whitefield",Whitefield,Bangalore,12.956718,77.735574
prop_26,3 BHK Apartment in Electronic City,apartment,7121484,1348,3,"Random Street, Electronic City",Electronic City,Bangalore,12.831858,77.667419
prop_27,3 BHK Apartment in Jayanagar,apartment,9944691,1033,3,"Random Street, Jayanagar",Jayanagar,Bangalore,12.944677,77.577492
